match,league,date,market,selection,model_prob,bookmaker_odds,implied_prob,edge,kelly_stake,confidence,timestamp
Manchester City vs Arsenal,Premier League,2025-03-08,BTTS,Both Teams Score – YES,0.634,1.72,0.5814,0.0526,31.43,HIGH,2026-02-25T11:12:22
Manchester City vs Arsenal,Premier League,2025-03-08,EH,Away EH -2,0.8027,1.55,0.6452,0.1575,111.0,HIGH,2026-02-25T11:12:22
Manchester City vs Arsenal,Premier League,2025-03-08,EH,Away EH -1,0.6063,2.1,0.4762,0.1301,62.09,HIGH,2026-02-25T11:12:22
Burnley vs Chelsea,Premier League,2025-03-08,1X2,Away Win (2),0.8919,1.7,0.5882,0.3036,184.34,HIGH,2026-02-25T11:12:22
Burnley vs Chelsea,Premier League,2025-03-08,Totals,Over 1.5,0.9128,1.3,0.7692,0.1435,155.48,HIGH,2026-02-25T11:12:22
Burnley vs Chelsea,Premier League,2025-03-08,Totals,Over 2.5,0.7716,1.8,0.5556,0.2161,121.54,HIGH,2026-02-25T11:12:22
Burnley vs Chelsea,Premier League,2025-03-08,EH,Away EH +1,0.7461,1.75,0.5714,0.1747,101.92,HIGH,2026-02-25T11:12:22
Atletico Madrid vs Villarreal,La Liga,2025-03-09,Totals,Under 2.5,0.6707,1.78,0.5618,0.1089,62.14,HIGH,2026-02-25T11:12:23
Atletico Madrid vs Villarreal,La Liga,2025-03-09,BTTS,Both Teams Score – NO,0.6241,1.72,0.5814,0.0427,25.53,MEDIUM,2026-02-25T11:12:23
Манчестер Сити vs Арсенал,Премьер-лига,2026-03-01,17:30,Исход,Победа хозяев (1),0.6053,1.88,0.5319,0.0734,39.21,🔥 ВЫСОКАЯ,2026-02-26T19:11:09
Манчестер Сити vs Арсенал,Премьер-лига,2026-03-01,17:30,Тотал,Больше 1.5,0.8463,1.27,0.7874,0.0589,69.3,🔥 ВЫСОКАЯ,2026-02-26T19:11:09
Манчестер Сити vs Арсенал,Премьер-лига,2026-03-01,17:30,Тотал,Больше 2.5,0.6488,1.7,0.5882,0.0605,36.76,🔥 ВЫСОКАЯ,2026-02-26T19:11:09
Бернли vs Челси,Премьер-лига,2026-03-01,15:00,Исход,Победа гостей (2),0.756,1.7,0.5882,0.1677,101.83,🔥 ВЫСОКАЯ,2026-02-26T19:11:09
Бернли vs Челси,Премьер-лига,2026-03-01,15:00,Тотал,Больше 1.5,0.8513,1.3,0.7692,0.082,88.87,🔥 ВЫСОКАЯ,2026-02-26T19:11:09
Бернли vs Челси,Премьер-лига,2026-03-01,15:00,Тотал,Больше 2.5,0.6571,1.8,0.5556,0.1016,57.12,🔥 ВЫСОКАЯ,2026-02-26T19:11:09
ПСЖ vs Монако,Лига Чемпионов,2026-03-01,20:00,Исход,Победа хозяев (1),0.8281,1.28,0.7812,0.0469,53.56,🔥 ВЫСОКАЯ,2026-02-26T19:11:10
ПСЖ vs Монако,Лига Чемпионов,2026-03-01,20:00,Тотал,Больше 2.5,0.8176,1.75,0.5714,0.2461,143.58,🔥 ВЫСОКАЯ,2026-02-26T19:11:10
ПСЖ vs Монако,Лига Чемпионов,2026-03-01,20:00,Тотал,Больше 3.5,0.645,2.6,0.3846,0.2603,105.76,🔥 ВЫСОКАЯ,2026-02-26T19:11:10
ПСЖ vs Монако,Лига Чемпионов,2026-03-01,20:00,Обе забьют,Да,0.6067,2.1,0.4762,0.1305,62.31,🔥 ВЫСОКАЯ,2026-02-26T19:11:10
Манчестер Сити vs Арсенал,Премьер-лига,2026-03-01,17:30,Исход,Победа хозяев (1),0.5782,1.88,0.5319,0.0463,24.74,📌 НИЗКАЯ,2026-02-27T12:22:22
Бернли vs Челси,Премьер-лига,2026-03-01,15:00,Исход,Победа гостей (2),0.7072,1.7,0.5882,0.119,72.24,✅ СРЕДНЯЯ,2026-02-27T12:22:23
Бернли vs Челси,Премьер-лига,2026-03-01,15:00,Тотал,Больше 2.5,0.6318,1.8,0.5556,0.0762,42.86,✅ СРЕДНЯЯ,2026-02-27T12:22:23
ПСЖ vs Монако,Лига Чемпионов,2026-03-01,20:00,Тотал,Больше 2.5,0.7566,1.75,0.5714,0.1852,108.01,🔥 ВЫСОКАЯ,2026-02-27T12:22:23
ПСЖ vs Монако,Лига Чемпионов,2026-03-01,20:00,Тотал,Больше 3.5,0.5803,2.6,0.3846,0.1957,79.5,🔥 ВЫСОКАЯ,2026-02-27T12:22:23
ПСЖ vs Монако,Лига Чемпионов,2026-03-01,20:00,Обе забьют,Да,0.5785,2.1,0.4762,0.1023,48.81,✅ СРЕДНЯЯ,2026-02-27T12:22:23
Манчестер Сити vs Арсенал,Премьер-лига,2026-03-01,17:30,Исход,Победа хозяев (1),0.5782,1.88,0.5319,0.0463,24.74,📌 НИЗКАЯ,2026-02-27T12:23:51
Бернли vs Челси,Премьер-лига,2026-03-01,15:00,Исход,Победа гостей (2),0.7072,1.7,0.5882,0.119,72.24,✅ СРЕДНЯЯ,2026-02-27T12:23:51
Бернли vs Челси,Премьер-лига,2026-03-01,15:00,Тотал,Больше 2.5,0.6318,1.8,0.5556,0.0762,42.86,✅ СРЕДНЯЯ,2026-02-27T12:23:51
ПСЖ vs Монако,Лига Чемпионов,2026-03-01,20:00,Тотал,Больше 2.5,0.7566,1.75,0.5714,0.1852,108.01,🔥 ВЫСОКАЯ,2026-02-27T12:23:51
ПСЖ vs Монако,Лига Чемпионов,2026-03-01,20:00,Тотал,Больше 3.5,0.5803,2.6,0.3846,0.1957,79.5,🔥 ВЫСОКАЯ,2026-02-27T12:23:51
ПСЖ vs Монако,Лига Чемпионов,2026-03-01,20:00,Обе забьют,Да,0.5785,2.1,0.4762,0.1023,48.81,✅ СРЕДНЯЯ,2026-02-27T12:23:51
Манчестер Сити vs Арсенал,Премьер-лига,2026-03-01,17:30,Исход,Победа хозяев (1),0.5782,1.88,0.5319,0.0463,24.74,📌 НИЗКАЯ,2026-02-27T12:24:44
Бернли vs Челси,Премьер-лига,2026-03-01,15:00,Исход,Победа гостей (2),0.7072,1.7,0.5882,0.119,72.24,✅ СРЕДНЯЯ,2026-02-27T12:24:44
Бернли vs Челси,Премьер-лига,2026-03-01,15:00,Тотал,Больше 2.5,0.6318,1.8,0.5556,0.0762,42.86,✅ СРЕДНЯЯ,2026-02-27T12:24:44
