match,league,date,market,selection,model_prob,bookmaker_odds,implied_prob,edge,kelly_stake,confidence,timestamp
Caen vs Beerschot VA,La Liga,2026-02-27,1X2,Draw (X),0.5993,3.25,0.3077,0.2916,105.31,HIGH,2026-02-25T11:32:37
Caen vs Beerschot VA,La Liga,2026-02-27,Totals,Under 2.5,0.9769,1.64,0.6098,0.3671,235.19,HIGH,2026-02-25T11:32:37
Marseille vs Rennes,La Liga,2026-02-28,1X2,Draw (X),0.5993,7.3,0.137,0.4623,133.93,HIGH,2026-02-25T11:33:13
Marseille vs Rennes,La Liga,2026-02-28,Totals,Under 2.5,0.9769,3.5,0.2857,0.6912,241.91,HIGH,2026-02-25T11:33:13
Marseille vs Rennes,La Liga,2026-02-28,Totals,Under 3.5,0.9966,2.2,0.4545,0.5421,248.46,HIGH,2026-02-25T11:33:13
Dijon vs Nimes,La Liga,2026-02-28,1X2,Draw (X),0.5993,3.3,0.303,0.2963,106.28,HIGH,2026-02-25T11:33:31
Dijon vs Nimes,La Liga,2026-02-28,Totals,Under 2.5,0.9769,1.81,0.5525,0.4244,237.09,HIGH,2026-02-25T11:33:31
Wolverhampton Wanderers vs Aston Villa,Премьер-лига,2026-02-27,20:00,Тотал,Больше 2.5,0.5727,1.98,0.5051,0.0677,34.17,✅ СРЕДНЯЯ,2026-02-26T19:04:07
Haugesund vs Brentford,Премьер-лига,2026-02-28,15:00,Исход,Ничья (X),0.5511,4.1,0.2439,0.3072,101.56,🔥 ВЫСОКАЯ,2026-02-26T19:04:48
Haugesund vs Brentford,Премьер-лига,2026-02-28,15:00,Тотал,Меньше 2.5,0.9637,2.04,0.4902,0.4735,232.2,🔥 ВЫСОКАЯ,2026-02-26T19:04:48
Liverpool vs West Ham United,Премьер-лига,2026-02-28,15:00,Исход,Победа хозяев (1),0.922,1.45,0.6897,0.2324,187.2,🔥 ВЫСОКАЯ,2026-02-26T19:04:49
Liverpool vs West Ham United,Премьер-лига,2026-02-28,15:00,Тотал,Больше 2.5,0.8217,1.4,0.7143,0.1074,93.96,🔥 ВЫСОКАЯ,2026-02-26T19:04:49
Liverpool vs West Ham United,Премьер-лига,2026-02-28,15:00,Тотал,Больше 3.5,0.6518,2.2,0.4545,0.1972,90.4,🔥 ВЫСОКАЯ,2026-02-26T19:04:49
Newcastle United vs Everton,Премьер-лига,2026-02-28,15:00,Исход,Победа хозяев (1),0.8092,1.79,0.5587,0.2505,141.9,🔥 ВЫСОКАЯ,2026-02-26T19:04:49
Newcastle United vs Everton,Премьер-лига,2026-02-28,15:00,Тотал,Больше 2.5,0.6509,1.81,0.5525,0.0985,55.0,🔥 ВЫСОКАЯ,2026-02-26T19:04:49
Wisla Plock vs Manchester City,Премьер-лига,2026-02-28,17:30,Исход,Ничья (X),0.574,4.6,0.2174,0.3566,113.9,🔥 ВЫСОКАЯ,2026-02-26T19:05:04
Wisla Plock vs Manchester City,Премьер-лига,2026-02-28,17:30,Тотал,Меньше 1.5,0.8575,4.65,0.2151,0.6424,204.61,🔥 ВЫСОКАЯ,2026-02-26T19:05:04
Wisla Plock vs Manchester City,Премьер-лига,2026-02-28,17:30,Тотал,Меньше 2.5,0.9704,2.46,0.4065,0.5639,237.52,🔥 ВЫСОКАЯ,2026-02-26T19:05:04
Brighton & Hove Albion vs Nottingham Forest,Премьер-лига,2026-03-01,14:00,Исход,Победа хозяев (1),0.6513,2.16,0.463,0.1883,87.65,🔥 ВЫСОКАЯ,2026-02-26T19:05:05
Fulham vs Tottenham Hotspur,Премьер-лига,2026-03-01,14:00,Исход,Победа хозяев (1),0.5898,2.18,0.4587,0.1311,60.54,🔥 ВЫСОКАЯ,2026-02-26T19:05:05
Fulham vs Tottenham Hotspur,Премьер-лига,2026-03-01,14:00,Тотал,Больше 2.5,0.6335,1.8,0.5556,0.0779,43.83,🔥 ВЫСОКАЯ,2026-02-26T19:05:05
Arsenal vs Chelsea,Премьер-лига,2026-03-01,16:30,Исход,Победа хозяев (1),0.7256,1.66,0.6024,0.1231,77.43,🔥 ВЫСОКАЯ,2026-02-26T19:05:06
Arsenal vs Chelsea,Премьер-лига,2026-03-01,16:30,Тотал,Больше 2.5,0.6784,1.79,0.5587,0.1197,67.8,🔥 ВЫСОКАЯ,2026-02-26T19:05:06
Everton vs Haugesund,Премьер-лига,2026-03-03,19:30,Исход,Ничья (X),0.5951,3.9,0.2564,0.3387,113.87,🔥 ВЫСОКАЯ,2026-02-26T19:05:06
Everton vs Haugesund,Премьер-лига,2026-03-03,19:30,Тотал,Меньше 2.5,0.9759,1.95,0.5128,0.4631,237.63,🔥 ВЫСОКАЯ,2026-02-26T19:05:06
Wisla Plock vs Sunderland,Премьер-лига,2026-03-03,19:30,Исход,Ничья (X),0.5615,3.72,0.2688,0.2927,100.06,🔥 ВЫСОКАЯ,2026-02-26T19:05:07
Wisla Plock vs Sunderland,Премьер-лига,2026-03-03,19:30,Тотал,Меньше 2.5,0.9669,1.83,0.5464,0.4205,231.76,🔥 ВЫСОКАЯ,2026-02-26T19:05:07
Aston Villa vs Chelsea,Премьер-лига,2026-03-04,19:30,Исход,Победа хозяев (1),0.5492,2.78,0.3597,0.1895,74.0,🔥 ВЫСОКАЯ,2026-02-26T19:05:20
Aston Villa vs Chelsea,Премьер-лига,2026-03-04,19:30,Тотал,Больше 2.5,0.6586,1.72,0.5814,0.0772,46.12,🔥 ВЫСОКАЯ,2026-02-26T19:05:20
Manchester City vs Nottingham Forest,Премьер-лига,2026-03-04,19:30,Исход,Победа хозяев (1),0.8042,1.42,0.7042,0.1,84.51,🔥 ВЫСОКАЯ,2026-02-26T19:05:21
Brighton & Hove Albion vs Arsenal,Премьер-лига,2026-03-04,19:30,Тотал,Больше 2.5,0.561,1.96,0.5102,0.0508,25.93,✅ СРЕДНЯЯ,2026-02-26T19:05:21
